2024-04-19 11:10:23.214 [main] INFO  - Application started
2024-04-19 11:11:13.909 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DEVICE_MANAGEMENT_ADDITIONAL_DATA'
2024-04-19 11:11:13.911 [main] INFO  - Get 4 table from DEVICE_MANAGEMENT_ADDITIONAL_DATA schema of database mysql
2024-04-19 11:11:13.911 [main] INFO  - Schema: DIP
2024-04-19 11:11:13.911 [main] INFO  - Getting table list from database oracle with schema: DIP
2024-04-19 11:11:14.879 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DIP'
2024-04-19 11:11:14.880 [main] INFO  - Get 0 table from DIP schema of database oracle
2024-04-19 11:11:14.880 [main] INFO  - Getting table list from database mysql with schema: DIP
2024-04-19 11:11:15.635 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DIP'
2024-04-19 11:11:15.636 [main] INFO  - Get 0 table from DIP schema of database mysql
2024-04-19 11:11:15.636 [main] INFO  - Schema: DVF
2024-04-19 11:11:15.636 [main] INFO  - Getting table list from database oracle with schema: DVF
2024-04-19 11:11:17.642 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DVF'
2024-04-19 11:11:17.643 [main] INFO  - Get 0 table from DVF schema of database oracle
2024-04-19 11:11:17.644 [main] INFO  - Getting table list from database mysql with schema: DVF
2024-04-19 11:11:18.736 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DVF'
2024-04-19 11:11:18.737 [main] INFO  - Get 0 table from DVF schema of database mysql
2024-04-19 11:11:18.737 [main] INFO  - Schema: DVSYS
2024-04-19 11:11:18.737 [main] INFO  - Getting table list from database oracle with schema: DVSYS
2024-04-19 11:11:20.488 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DVSYS'
2024-04-19 11:11:20.788 [main] INFO  - Get 44 table from DVSYS schema of database oracle
2024-04-19 11:11:20.788 [main] INFO  - Getting table list from database mysql with schema: DVSYS
2024-04-19 11:11:21.514 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DVSYS'
2024-04-19 11:11:21.515 [main] INFO  - Get 0 table from DVSYS schema of database mysql
2024-04-19 11:11:21.515 [main] INFO  - Schema: EMPLOYEE_MANAGEMENT
2024-04-19 11:11:21.515 [main] INFO  - Getting table list from database oracle with schema: EMPLOYEE_MANAGEMENT
2024-04-19 11:11:22.498 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'EMPLOYEE_MANAGEMENT'
2024-04-19 11:11:22.499 [main] INFO  - Get 3 table from EMPLOYEE_MANAGEMENT schema of database oracle
2024-04-19 11:11:22.499 [main] INFO  - Getting table list from database mysql with schema: EMPLOYEE_MANAGEMENT
2024-04-19 11:11:23.197 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'EMPLOYEE_MANAGEMENT'
2024-04-19 11:11:23.198 [main] INFO  - Get 5 table from EMPLOYEE_MANAGEMENT schema of database mysql
2024-04-19 11:11:23.198 [main] INFO  - Schema: FIDO
2024-04-19 11:11:23.198 [main] INFO  - Getting table list from database oracle with schema: FIDO
2024-04-19 11:11:24.173 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'FIDO'
2024-04-19 11:11:24.174 [main] INFO  - Get 8 table from FIDO schema of database oracle
2024-04-19 11:11:24.174 [main] INFO  - Getting table list from database mysql with schema: FIDO
2024-04-19 11:11:24.949 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'FIDO'
2024-04-19 11:11:24.949 [main] INFO  - Get 0 table from FIDO schema of database mysql
2024-04-19 11:11:24.950 [main] INFO  - Schema: GGADMIN
2024-04-19 11:11:24.950 [main] INFO  - Getting table list from database oracle with schema: GGADMIN
2024-04-19 11:11:25.977 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'GGADMIN'
2024-04-19 11:11:26.162 [main] INFO  - Get 26 table from GGADMIN schema of database oracle
2024-04-19 11:11:26.163 [main] INFO  - Getting table list from database mysql with schema: GGADMIN
2024-04-19 11:11:26.878 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'GGADMIN'
2024-04-19 11:11:26.879 [main] INFO  - Get 1 table from GGADMIN schema of database mysql
2024-04-19 11:11:26.879 [main] INFO  - Schema: GGSYS
2024-04-19 11:11:26.879 [main] INFO  - Getting table list from database oracle with schema: GGSYS
2024-04-19 11:11:27.858 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'GGSYS'
2024-04-19 11:11:27.859 [main] INFO  - Get 0 table from GGSYS schema of database oracle
2024-04-19 11:11:27.859 [main] INFO  - Getting table list from database mysql with schema: GGSYS
2024-04-19 11:11:28.637 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'GGSYS'
2024-04-19 11:11:28.637 [main] INFO  - Get 0 table from GGSYS schema of database mysql
2024-04-19 11:11:28.638 [main] INFO  - Schema: GSMADMIN_INTERNAL
2024-04-19 11:11:28.638 [main] INFO  - Getting table list from database oracle with schema: GSMADMIN_INTERNAL
2024-04-19 11:11:30.541 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'GSMADMIN_INTERNAL'
2024-04-19 11:11:30.916 [main] INFO  - Get 40 table from GSMADMIN_INTERNAL schema of database oracle
2024-04-19 11:11:30.917 [main] INFO  - Getting table list from database mysql with schema: GSMADMIN_INTERNAL
2024-04-19 11:11:31.648 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'GSMADMIN_INTERNAL'
2024-04-19 11:11:31.649 [main] INFO  - Get 0 table from GSMADMIN_INTERNAL schema of database mysql
2024-04-19 11:11:31.649 [main] INFO  - Schema: GSMCATUSER
2024-04-19 11:11:31.649 [main] INFO  - Getting table list from database oracle with schema: GSMCATUSER
2024-04-19 11:11:32.548 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'GSMCATUSER'
2024-04-19 11:11:32.548 [main] INFO  - Get 0 table from GSMCATUSER schema of database oracle
2024-04-19 11:11:32.549 [main] INFO  - Getting table list from database mysql with schema: GSMCATUSER
2024-04-19 11:11:33.275 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'GSMCATUSER'
2024-04-19 11:11:33.276 [main] INFO  - Get 0 table from GSMCATUSER schema of database mysql
2024-04-19 11:11:33.276 [main] INFO  - Schema: GSMROOTUSER
2024-04-19 11:11:33.276 [main] INFO  - Getting table list from database oracle with schema: GSMROOTUSER
2024-04-19 11:11:34.434 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'GSMROOTUSER'
2024-04-19 11:11:34.436 [main] INFO  - Get 0 table from GSMROOTUSER schema of database oracle
2024-04-19 11:11:34.436 [main] INFO  - Getting table list from database mysql with schema: GSMROOTUSER
2024-04-19 11:11:35.153 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'GSMROOTUSER'
2024-04-19 11:11:35.154 [main] INFO  - Get 0 table from GSMROOTUSER schema of database mysql
2024-04-19 11:11:35.154 [main] INFO  - Schema: GSMUSER
2024-04-19 11:11:35.154 [main] INFO  - Getting table list from database oracle with schema: GSMUSER
2024-04-19 11:11:36.136 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'GSMUSER'
2024-04-19 11:11:36.137 [main] INFO  - Get 0 table from GSMUSER schema of database oracle
2024-04-19 11:11:36.137 [main] INFO  - Getting table list from database mysql with schema: GSMUSER
2024-04-19 11:11:36.935 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'GSMUSER'
2024-04-19 11:11:36.937 [main] INFO  - Get 0 table from GSMUSER schema of database mysql
2024-04-19 11:11:36.937 [main] INFO  - Schema: KAFKA
2024-04-19 11:11:36.938 [main] INFO  - Getting table list from database oracle with schema: KAFKA
2024-04-19 11:11:37.878 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'KAFKA'
2024-04-19 11:11:37.879 [main] INFO  - Get 6 table from KAFKA schema of database oracle
2024-04-19 11:11:37.879 [main] INFO  - Getting table list from database mysql with schema: KAFKA
2024-04-19 11:11:38.672 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'KAFKA'
2024-04-19 11:11:38.673 [main] INFO  - Get 0 table from KAFKA schema of database mysql
2024-04-19 11:11:38.673 [main] INFO  - Schema: LBACSYS
2024-04-19 11:11:38.673 [main] INFO  - Getting table list from database oracle with schema: LBACSYS
